Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover;vwap
2025-09-29;38,22;38,66;38,13;38,32;38,32;842274;3110;32297431;38,3455
2025-09-26;37,37;38,24;37,36;38,17;38,17;719927;2477;27444995;38,1219
2025-09-25;37,2;37,47;36,87;37,21;37,21;531663;1525;19783411;37,2104
2025-09-24;37,4;38,11;37,06;37,3;37,3;679469;3267;25408306;37,3944
2025-09-23;37,46;37,7;37,11;37,11;37,11;511366;1750;19033397;37,2207
2025-09-22;37,29;37,45;36,95;37,32;37,32;398189;1733;14856811;37,311
2025-09-19;37,34;37,79;37,2;37,37;37,37;1198869;3243;44816974;37,3827
2025-09-18;37,2;37,51;36,97;37,18;37,18;362234;1788;13476547;37,204
2025-09-17;37,49;37,49;37,04;37,11;37,11;575046;2175;21361144;37,1468
2025-09-16;38,27;38,27;37,23;37,38;37,38;800971;2092;29963993;37,4096
2025-09-15;37,92;38,44;37,77;38,27;38,27;719686;2689;27544946;38,2736
2025-09-12;37,91;38,1;37,56;37,79;37,79;567995;2634;21476144;37,8104
2025-09-11;37,42;37,82;37,31;37,74;37,74;535454;1975;20196056;37,7176
2025-09-10;36,88;37,66;36,76;37,46;37,46;873122;3678;32687809;37,4378
2025-09-09;36,59;36,91;36,42;36,85;36,85;435778;2058;16030645;36,7863
2025-09-08;36,21;36,59;36,19;36,44;36,44;687149;2562;25042289;36,4438
2025-09-05;36,35;36,36;35,94;36,03;36,03;480773;2343;17337252;36,0612
2025-09-04;35,65;36,26;35,65;36,22;36,22;649023;2650;23455046;36,139
2025-09-03;35,63;36,02;35,44;35,64;35,64;705795;2538;25204785;35,7112
2025-09-02;36,1;36,15;35,39;35,63;35,63;785095;2967;27952914;35,6045
2025-09-01;36,65;36,73;36,01;36,14;36,14;452218;1731;16358379;36,1737
2025-08-29;36,7;36,85;36,51;36,64;36,64;400440;1479;14674210;36,6452
2025-08-28;36,74;37,1;36,43;36,73;36,73;760404;3062;27953573;36,7615
2025-08-27;36,48;36,85;36,37;36,68;36,68;695074;2732;25481772;36,6605
2025-08-26;36,96;36,97;35,73;36,4;36,4;2380020;9694;86328792;36,2723
2025-08-25;38,54;38,6;36,97;36,97;36,97;791630;2862;29506213;37,2727
2025-08-22;38,64;38,77;38,57;38,71;38,71;291479;1276;11279768;38,6984
2025-08-21;38,9;38,94;38,4;38,64;38,64;433333;1429;16740962;38,633
